date_key,full_date,year,quarter,month,month_name,month_index
20170816,2017-08-16,2017,3,8,August,11
20170817,2017-08-17,2017,3,8,August,11
20170818,2017-08-18,2017,3,8,August,11
20170819,2017-08-19,2017,3,8,August,11
20170820,2017-08-20,2017,3,8,August,11
20170821,2017-08-21,2017,3,8,August,11
20170822,2017-08-22,2017,3,8,August,11
20170823,2017-08-23,2017,3,8,August,11
20170824,2017-08-24,2017,3,8,August,11
20170825,2017-08-25,2017,3,8,August,11
20170826,2017-08-26,2017,3,8,August,11
20170827,2017-08-27,2017,3,8,August,11
20170828,2017-08-28,2017,3,8,August,11
20170829,2017-08-29,2017,3,8,August,11
20170830,2017-08-30,2017,3,8,August,11
20170831,2017-08-31,2017,3,8,August,11
20170901,2017-09-01,2017,3,9,September,12
20170902,2017-09-02,2017,3,9,September,12
20170903,2017-09-03,2017,3,9,September,12
20170904,2017-09-04,2017,3,9,September,12
20170905,2017-09-05,2017,3,9,September,12
20170906,2017-09-06,2017,3,9,September,12
20170907,2017-09-07,2017,3,9,September,12
20170908,2017-09-08,2017,3,9,September,12
20170909,2017-09-09,2017,3,9,September,12
20170910,2017-09-10,2017,3,9,September,12
20170911,2017-09-11,2017,3,9,September,12
20170912,2017-09-12,2017,3,9,September,12
20170913,2017-09-13,2017,3,9,September,12
20170914,2017-09-14,2017,3,9,September,12
20170915,2017-09-15,2017,3,9,September,12
20170916,2017-09-16,2017,3,9,September,12
20170917,2017-09-17,2017,3,9,September,12
20170918,2017-09-18,2017,3,9,September,12
20170919,2017-09-19,2017,3,9,September,12
20170920,2017-09-20,2017,3,9,September,12
20170921,2017-09-21,2017,3,9,September,12
20170922,2017-09-22,2017,3,9,September,12
20170923,2017-09-23,2017,3,9,September,12
20170924,2017-09-24,2017,3,9,September,12
20170925,2017-09-25,2017,3,9,September,12
20170926,2017-09-26,2017,3,9,September,12
20170927,2017-09-27,2017,3,9,September,12
20170928,2017-09-28,2017,3,9,September,12
20170929,2017-09-29,2017,3,9,September,12
20170930,2017-09-30,2017,3,9,September,12
20171001,2017-10-01,2017,4,10,October,13
20171002,2017-10-02,2017,4,10,October,13
20171003,2017-10-03,2017,4,10,October,13
20171004,2017-10-04,2017,4,10,October,13
20171005,2017-10-05,2017,4,10,October,13
20171006,2017-10-06,2017,4,10,October,13
20171007,2017-10-07,2017,4,10,October,13
20171008,2017-10-08,2017,4,10,October,13
20171009,2017-10-09,2017,4,10,October,13
20171010,2017-10-10,2017,4,10,October,13
20171011,2017-10-11,2017,4,10,October,13
20171012,2017-10-12,2017,4,10,October,13
20171013,2017-10-13,2017,4,10,October,13
20171014,2017-10-14,2017,4,10,October,13
20171015,2017-10-15,2017,4,10,October,13
20171016,2017-10-16,2017,4,10,October,13
20171017,2017-10-17,2017,4,10,October,13
20171018,2017-10-18,2017,4,10,October,13
20171019,2017-10-19,2017,4,10,October,13
20171020,2017-10-20,2017,4,10,October,13
20171021,2017-10-21,2017,4,10,October,13
20171022,2017-10-22,2017,4,10,October,13
20171023,2017-10-23,2017,4,10,October,13
20171024,2017-10-24,2017,4,10,October,13
20171025,2017-10-25,2017,4,10,October,13
20171026,2017-10-26,2017,4,10,October,13
20171027,2017-10-27,2017,4,10,October,13
20171028,2017-10-28,2017,4,10,October,13
20171029,2017-10-29,2017,4,10,October,13
20171030,2017-10-30,2017,4,10,October,13
20171031,2017-10-31,2017,4,10,October,13
20171101,2017-11-01,2017,4,11,November,14
20171102,2017-11-02,2017,4,11,November,14
20171103,2017-11-03,2017,4,11,November,14
20171104,2017-11-04,2017,4,11,November,14
20171105,2017-11-05,2017,4,11,November,14
20171106,2017-11-06,2017,4,11,November,14
20171107,2017-11-07,2017,4,11,November,14
20171108,2017-11-08,2017,4,11,November,14
20171109,2017-11-09,2017,4,11,November,14
20171110,2017-11-10,2017,4,11,November,14
20171111,2017-11-11,2017,4,11,November,14
20171112,2017-11-12,2017,4,11,November,14
20171113,2017-11-13,2017,4,11,November,14
20171114,2017-11-14,2017,4,11,November,14
20171115,2017-11-15,2017,4,11,November,14
20171116,2017-11-16,2017,4,11,November,14
20171117,2017-11-17,2017,4,11,November,14
20171118,2017-11-18,2017,4,11,November,14
20171119,2017-11-19,2017,4,11,November,14
20171120,2017-11-20,2017,4,11,November,14
20171121,2017-11-21,2017,4,11,November,14
20171122,2017-11-22,2017,4,11,November,14
20171123,2017-11-23,2017,4,11,November,14
20171124,2017-11-24,2017,4,11,November,14
20171125,2017-11-25,2017,4,11,November,14
20171126,2017-11-26,2017,4,11,November,14
20171127,2017-11-27,2017,4,11,November,14
20171128,2017-11-28,2017,4,11,November,14
20171129,2017-11-29,2017,4,11,November,14
20171130,2017-11-30,2017,4,11,November,14
20171201,2017-12-01,2017,4,12,December,15
20171202,2017-12-02,2017,4,12,December,15
20171203,2017-12-03,2017,4,12,December,15
20171204,2017-12-04,2017,4,12,December,15
20171205,2017-12-05,2017,4,12,December,15
20171206,2017-12-06,2017,4,12,December,15
20171207,2017-12-07,2017,4,12,December,15
20171208,2017-12-08,2017,4,12,December,15
20171209,2017-12-09,2017,4,12,December,15
20171210,2017-12-10,2017,4,12,December,15
20171211,2017-12-11,2017,4,12,December,15
20171212,2017-12-12,2017,4,12,December,15
20171213,2017-12-13,2017,4,12,December,15
20171214,2017-12-14,2017,4,12,December,15
20171215,2017-12-15,2017,4,12,December,15
20171216,2017-12-16,2017,4,12,December,15
20171217,2017-12-17,2017,4,12,December,15
20171218,2017-12-18,2017,4,12,December,15
20171219,2017-12-19,2017,4,12,December,15
20171220,2017-12-20,2017,4,12,December,15
20171221,2017-12-21,2017,4,12,December,15
20171222,2017-12-22,2017,4,12,December,15
20171223,2017-12-23,2017,4,12,December,15
20171224,2017-12-24,2017,4,12,December,15
20171225,2017-12-25,2017,4,12,December,15
20171226,2017-12-26,2017,4,12,December,15
20171227,2017-12-27,2017,4,12,December,15
20171228,2017-12-28,2017,4,12,December,15
20171229,2017-12-29,2017,4,12,December,15
20171230,2017-12-30,2017,4,12,December,15
20171231,2017-12-31,2017,4,12,December,15
20180101,2018-01-01,2018,1,1,January,16
20180102,2018-01-02,2018,1,1,January,16
20180103,2018-01-03,2018,1,1,January,16
20180104,2018-01-04,2018,1,1,January,16
20180105,2018-01-05,2018,1,1,January,16
20180106,2018-01-06,2018,1,1,January,16
20180107,2018-01-07,2018,1,1,January,16
20180108,2018-01-08,2018,1,1,January,16
20180109,2018-01-09,2018,1,1,January,16
20180110,2018-01-10,2018,1,1,January,16
20180111,2018-01-11,2018,1,1,January,16
20180112,2018-01-12,2018,1,1,January,16
20180113,2018-01-13,2018,1,1,January,16
20180114,2018-01-14,2018,1,1,January,16
20180115,2018-01-15,2018,1,1,January,16
20180116,2018-01-16,2018,1,1,January,16
20180117,2018-01-17,2018,1,1,January,16
20180118,2018-01-18,2018,1,1,January,16
20180119,2018-01-19,2018,1,1,January,16
20180120,2018-01-20,2018,1,1,January,16
20180121,2018-01-21,2018,1,1,January,16
20180122,2018-01-22,2018,1,1,January,16
20180123,2018-01-23,2018,1,1,January,16
20180124,2018-01-24,2018,1,1,January,16
20180125,2018-01-25,2018,1,1,January,16
20180126,2018-01-26,2018,1,1,January,16
20180127,2018-01-27,2018,1,1,January,16
20180128,2018-01-28,2018,1,1,January,16
20180129,2018-01-29,2018,1,1,January,16
20180130,2018-01-30,2018,1,1,January,16
20180131,2018-01-31,2018,1,1,January,16
20180201,2018-02-01,2018,1,2,February,17
20180202,2018-02-02,2018,1,2,February,17
20180203,2018-02-03,2018,1,2,February,17
20180204,2018-02-04,2018,1,2,February,17
20180205,2018-02-05,2018,1,2,February,17
20180206,2018-02-06,2018,1,2,February,17
20180207,2018-02-07,2018,1,2,February,17
20180208,2018-02-08,2018,1,2,February,17
20180209,2018-02-09,2018,1,2,February,17
20180210,2018-02-10,2018,1,2,February,17
20180211,2018-02-11,2018,1,2,February,17
20180212,2018-02-12,2018,1,2,February,17
20180213,2018-02-13,2018,1,2,February,17
20180214,2018-02-14,2018,1,2,February,17
20180215,2018-02-15,2018,1,2,February,17
20180216,2018-02-16,2018,1,2,February,17
20180217,2018-02-17,2018,1,2,February,17
20180218,2018-02-18,2018,1,2,February,17
20180219,2018-02-19,2018,1,2,February,17
20180220,2018-02-20,2018,1,2,February,17
20180221,2018-02-21,2018,1,2,February,17
20180222,2018-02-22,2018,1,2,February,17
20180223,2018-02-23,2018,1,2,February,17
20180224,2018-02-24,2018,1,2,February,17
20180225,2018-02-25,2018,1,2,February,17
20180226,2018-02-26,2018,1,2,February,17
20180227,2018-02-27,2018,1,2,February,17
20180228,2018-02-28,2018,1,2,February,17
20180301,2018-03-01,2018,1,3,March,18
20180302,2018-03-02,2018,1,3,March,18
20180303,2018-03-03,2018,1,3,March,18
20180304,2018-03-04,2018,1,3,March,18
20180305,2018-03-05,2018,1,3,March,18
20180306,2018-03-06,2018,1,3,March,18
20180307,2018-03-07,2018,1,3,March,18
20180308,2018-03-08,2018,1,3,March,18
20180309,2018-03-09,2018,1,3,March,18
20180310,2018-03-10,2018,1,3,March,18
20180311,2018-03-11,2018,1,3,March,18
20180312,2018-03-12,2018,1,3,March,18
20180313,2018-03-13,2018,1,3,March,18
20180314,2018-03-14,2018,1,3,March,18
20180315,2018-03-15,2018,1,3,March,18
20180316,2018-03-16,2018,1,3,March,18
20180317,2018-03-17,2018,1,3,March,18
20180318,2018-03-18,2018,1,3,March,18
20180319,2018-03-19,2018,1,3,March,18
20180320,2018-03-20,2018,1,3,March,18
20180321,2018-03-21,2018,1,3,March,18
20180322,2018-03-22,2018,1,3,March,18
20180323,2018-03-23,2018,1,3,March,18
20180324,2018-03-24,2018,1,3,March,18
20180325,2018-03-25,2018,1,3,March,18
20180326,2018-03-26,2018,1,3,March,18
20180327,2018-03-27,2018,1,3,March,18
20180328,2018-03-28,2018,1,3,March,18
20180329,2018-03-29,2018,1,3,March,18
20180330,2018-03-30,2018,1,3,March,18
20180331,2018-03-31,2018,1,3,March,18
20180401,2018-04-01,2018,2,4,April,19
20180402,2018-04-02,2018,2,4,April,19
20180403,2018-04-03,2018,2,4,April,19
20180404,2018-04-04,2018,2,4,April,19
20180405,2018-04-05,2018,2,4,April,19
20180406,2018-04-06,2018,2,4,April,19
20180407,2018-04-07,2018,2,4,April,19
20180408,2018-04-08,2018,2,4,April,19
20180409,2018-04-09,2018,2,4,April,19
20180410,2018-04-10,2018,2,4,April,19
20180411,2018-04-11,2018,2,4,April,19
20180412,2018-04-12,2018,2,4,April,19
20180413,2018-04-13,2018,2,4,April,19
20180414,2018-04-14,2018,2,4,April,19
20180415,2018-04-15,2018,2,4,April,19
20180416,2018-04-16,2018,2,4,April,19
20180417,2018-04-17,2018,2,4,April,19
20180418,2018-04-18,2018,2,4,April,19
20180419,2018-04-19,2018,2,4,April,19
20180420,2018-04-20,2018,2,4,April,19
20180421,2018-04-21,2018,2,4,April,19
20180422,2018-04-22,2018,2,4,April,19
20180423,2018-04-23,2018,2,4,April,19
20180424,2018-04-24,2018,2,4,April,19
20180425,2018-04-25,2018,2,4,April,19
20180426,2018-04-26,2018,2,4,April,19
20180427,2018-04-27,2018,2,4,April,19
20180428,2018-04-28,2018,2,4,April,19
20180429,2018-04-29,2018,2,4,April,19
20180430,2018-04-30,2018,2,4,April,19
20180501,2018-05-01,2018,2,5,May,20
20180502,2018-05-02,2018,2,5,May,20
20180503,2018-05-03,2018,2,5,May,20
20180504,2018-05-04,2018,2,5,May,20
20180505,2018-05-05,2018,2,5,May,20
20180506,2018-05-06,2018,2,5,May,20
20180507,2018-05-07,2018,2,5,May,20
20180508,2018-05-08,2018,2,5,May,20
20180509,2018-05-09,2018,2,5,May,20
